Date,Time,CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],VR VCC Temperature (SVID) [°C],CPU Package Power [W],IA Cores Power [W],System Agent Power [W],Rest-of-Chip Power [W],PL1 Power Limit (Static) [W],PL2 Power Limit (Static) [W],VR VCC Power (SVID POUT) [W],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Thermal Limit [°C],GPU Power [W],GPU Rail Powers (avg) [W],GPU Core (NVVDD) Input Power (sum) [W],GPU PCIe +12V Input Power [W],GPU 8-pin #1 Input Power [W],GPU Misc0 Input Power [W],GPU Core (NVVDD2) Input Power (sum) [W],GPU Input PP Source Power (sum) [W],GPU Core (NVVDD) Output Power [W],GPU Core (NVVDD) Output Power [W],GPU Core Load [%],GPU Memory Controller Load [%],GPU Video Engine Load [%],GPU Bus Load [%],GPU Memory Usage [%],GPU D3D Usages (avg) [%],GPU D3D Usage [%],GPU Video Decode 0 Usage [%],GPU Video Encode 0 Usage [%],GPU VR Usage [%]
26.3.2025,42:18.3,39,39,38,38,42.821,33.96,6.43,1.428,202,241,40,43.5,50.7,83,13.457,5.775,8.815,2.851,10.719,5.434,7.94,5.643,1.1,3.698,0,5,0,0,8.4,0,0,0,0,0
26.3.2025,42:19.3,39,39,38,38,42.991,34.136,6.424,1.428,202,241,40,43.5,50.7,83,13.538,5.867,8.418,3.022,10.916,5.857,7.58,6.371,1.091,3.681,0,6,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:20.3,39,39,38,38,42.582,33.705,6.447,1.431,202,241,40,43.5,50.7,83,13.578,5.78,8.387,2.973,10.708,5.676,7.548,6.137,1.102,3.711,0,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:21.3,39,39,38,38,42.788,33.915,6.436,1.429,202,241,40,43.5,50.7,83,13.496,5.84,8.69,2.924,10.841,5.628,7.827,5.955,1.106,3.747,0,12,0,0,8.4,0,0,0,0,0
26.3.2025,42:22.3,39,39,38,38,43.041,34.167,6.444,1.428,202,241,40,43.5,50.7,83,13.462,5.829,8.734,2.927,10.827,5.595,7.857,5.908,1.095,3.69,0,11,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:23.3,39,39,38,38,43.091,34.221,6.435,1.428,202,241,40,43.5,50.7,83,13.538,5.786,8.842,2.914,10.737,5.425,7.968,5.686,1.091,3.627,1,4,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:24.3,39,39,38,38,42.935,34.074,6.432,1.426,202,241,40,43.5,50.7,83,13.558,5.787,9.232,2.779,10.755,5.218,8.309,5.234,1.104,3.665,1,6,0,0,8.4,0,0,0,0,0
26.3.2025,42:25.3,39,39,38,38,42.548,33.684,6.429,1.428,202,241,40,43.5,50.7,83,13.597,5.706,8.918,2.791,10.574,5.217,8.033,5.34,1.108,3.665,1,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:26.3,39,39,38,38,42.335,33.477,6.431,1.425,202,241,40,43.5,50.7,83,13.492,5.706,8.853,2.693,10.353,5.036,7.968,5.077,1.328,3.684,1,6,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:27.3,39,39,38,38,42.447,33.598,6.419,1.427,202,241,40,43.5,50.7,83,13.492,5.624,8.853,2.693,10.353,5.036,7.968,5.077,1.328,3.684,1,6,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:28.3,39,39,38,38,43.131,34.264,6.43,1.427,202,241,40,43.5,50.7,83,13.469,5.693,9.263,2.693,10.556,4.999,8.34,4.918,1.094,3.681,1,6,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:29.3,39,39,38,38,43.12,34.258,6.432,1.425,202,241,40,43.5,50.7,83,13.492,5.639,8.894,2.765,10.396,5.071,8.007,5.168,1.108,3.703,1,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:30.3,39,39,38,38,42.466,33.605,6.436,1.425,202,241,40,43.5,50.7,83,13.448,5.893,8.426,3.008,10.848,5.795,7.587,6.281,1.096,4.104,1,6,0,0,8.4,0,0,0,0,0
26.3.2025,42:31.3,39,39,38,38,42.559,33.686,6.442,1.428,202,241,40,43.5,50.7,83,13.549,5.905,8.387,2.971,10.86,5.831,7.548,6.295,1.095,4.248,1,15,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:32.3,39,39,38,38,42.566,33.685,6.44,1.431,202,241,40,43.5,50.7,83,13.311,5.693,8.596,2.863,10.475,5.325,7.732,5.622,1.102,3.831,1,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:33.3,39,39,38,38,42.62,33.75,6.44,1.429,202,241,40,43.5,50.7,83,13.278,5.909,8.107,3.02,10.863,6.001,7.293,6.595,1.096,4.3,1,12,0,0,8.4,0,0,0,0,0
26.3.2025,42:34.3,39,39,38,38,43.158,34.297,6.439,1.425,202,241,40,43.5,50.7,83,13.301,5.756,8.616,2.877,10.625,5.46,7.764,5.754,1.095,3.861,1,15,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:35.3,39,39,38,38,43.409,34.553,6.423,1.423,202,241,40,43.5,50.7,83,13.474,5.946,8.234,3.042,10.951,6.01,7.421,6.584,1.091,4.237,2,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:36.3,39,39,38,38,43.108,34.24,6.434,1.427,202,241,40,43.5,50.7,83,13.574,5.744,9.242,2.753,10.677,5.131,8.32,5.118,1.095,3.613,1,6,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:37.3,39,39,38,38,42.621,33.752,6.438,1.429,202,241,40,43.5,50.7,83,13.531,5.591,8.712,2.754,10.327,5.108,7.837,5.252,1.098,3.638,1,8,0,0,8.4,0,0,0,0,0
26.3.2025,42:38.3,39,39,38,38,42.644,33.761,6.446,1.434,202,241,40,43.5,50.7,83,13.346,5.66,7.993,2.995,10.445,5.649,7.203,6.247,1.093,3.654,2,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:39.3,39,39,38,38,42.371,33.484,6.452,1.433,202,241,40,43.5,50.7,83,13.325,5.661,8.804,2.803,10.452,5.169,7.929,5.339,1.096,3.692,1,14,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:40.3,39,39,38,38,42.612,33.73,6.447,1.43,202,241,40,43.5,50.7,83,13.501,5.674,8.659,2.839,10.524,5.326,7.797,5.577,1.097,3.575,1,13,0,0,8.4,0,0,0,0,0
26.3.2025,42:41.3,39,39,38,38,42.401,33.515,6.451,1.43,202,241,40,43.5,50.7,83,13.426,5.677,8.128,2.946,10.541,5.66,7.316,6.179,1.098,3.551,2,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:42.3,39,39,38,38,42.798,33.93,6.435,1.427,202,241,40,43.5,50.7,83,13.265,5.635,8.952,2.741,10.449,5.084,8.053,5.147,1.1,3.551,1,8,0,0,8.4,0,0,0,0,0
26.3.2025,42:43.3,39,39,38,38,42.831,33.965,6.438,1.427,202,241,40,43.5,50.7,83,13.384,5.72,8.536,2.922,10.628,5.505,7.686,5.874,1.1,3.507,2,4,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:44.3,39,39,38,38,42.368,33.482,6.446,1.43,202,241,40,43.5,50.7,83,13.256,5.646,8.978,2.706,10.503,5.11,8.081,5.134,1.095,3.559,1,5,0,0,8.4,0,0,0,0,0
26.3.2025,42:45.3,39,39,38,38,42.685,33.805,6.448,1.429,202,241,40,43.5,50.7,83,13.484,5.613,8.855,2.68,10.447,5.131,7.969,5.162,1.093,3.567,2,6,0,0,8.4,0,0.2,0,0,0
26.3.2025,42:46.3,39,39,38,38,42.936,34.042,6.454,1.432,202,241,40,43.5,50.7,83,13.499,5.581,8.846,2.669,10.367,5.061,7.971,5.081,1.096,3.556,1,10,0,0,8.4,0.1,0.3,0,0,0
26.3.2025,42:47.3,39,39,38,38,42.562,33.682,6.453,1.428,202,241,40,43.5,50.7,83,13.4,5.678,8.796,2.777,10.519,5.24,7.923,5.384,1.096,3.69,2,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:48.3,39,39,38,38,42.512,33.609,6.458,1.436,202,241,40,43.5,50.7,83,13.459,5.696,9.105,2.706,10.586,5.121,8.195,5.109,1.091,3.657,2,6,0,0,8.4,0,0,0,0,0
